source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,rpgeo
347464267293726336,26.596304669861155,41.340605214063736,0.8190591752222456,13.4379482,16.4576683,16.9597034,15.8042183,1.15548515,1189.61938
5705880962024320128,131.0924652564557,-18.08336749402087,0.4073812878488444,17.5445557,14.676651,14.9946308,14.1924553,0.802175522,2225.07935
4167827850202662528,260.7942472134085,-8.609051829734248,0.9990359607069572,26.9085197,15.4375763,16.1915836,14.5774488,1.61413479,961.517883
6401015062330529536,319.0342874204396,-65.98170536714308,0.3513573430287305,10.5086174,15.8513174,16.1370354,15.3947573,0.742278099,2460.85571
2003824143082517760,341.059696905556,55.32723439909242,0.6066014105962403,13.4220581,16.6783009,17.223465,15.9708576,1.25260735,1617.49487
1585253088716812416,180.38963552368327,66.07094208267681,1.2955459127664348,54.5337029,14.9405851,15.3208113,14.3903151,0.930496216,757.808289
50081590711357824,59.18954254015088,19.173269599605028,1.4838138330841764,15.7218752,17.2266464,18.2478065,16.2253151,2.02249146,645.943176
2016897366388375936,351.26680308121,63.8586308623591,1.248113004750547,123.338058,12.6702404,13.3696585,11.8612823,1.50837612,797.337158
6457176054693131392,312.89568394423446,-57.470958244012415,1.195539921067554,34.3374252,15.8148918,16.2921295,15.1716948,1.12043476,809.102356
2024425761181934464,292.6372866112748,25.25225311165479,2.121381125593841,18.6564732,18.2154198,19.6707897,16.9937134,2.67707634,471.690491
3179089678163094400,67.38230401934183,-11.25387682034342,0.6287680671040607,12.7688932,16.4733734,16.9334564,15.8572474,1.07620907,1456.58032
6251705300293497088,232.6643284398,-22.491615156846336,2.556133318635088,21.975565,17.6024284,19.1052399,16.4068184,2.69842148,380.7052
4248820659850802688,301.1212332250426,6.103372922412137,0.5991143520092014,15.5848503,15.797061,16.1900749,15.2128315,0.977243423,1573.23315
6907897962913881472,307.8317192850836,-6.665552978167947,0.8119875305871688,16.766489,15.3347301,15.7080488,14.7932148,0.914834023,1166.59778
4565858240639964672,251.53914310680747,22.15532749537806,0.7853638761034046,13.5396795,17.0255985,17.6891689,16.2459335,1.4432354,1184.90247
6077978168144092288,187.40554414953843,-52.87160249974479,0.4746577645589655,10.9696741,16.1688309,16.4677753,15.6994638,0.768311501,2065.65259
5953421466556261120,260.24456932743755,-43.41771995739857,1.3264949455911563,78.1253738,13.0814161,13.4508982,12.5283566,0.922541618,732.253601
4121598849538259072,263.19282739698275,-19.352688624709405,0.4203775476574225,16.8384209,14.3582201,15.2596693,13.4168253,1.84284401,2197.87695
2172514309389723520,321.47147738854574,51.98033876545662,0.7731370294921645,26.4420414,15.8883247,16.572958,15.0770788,1.49587917,1259.40088
5368703656802221824,176.55649625355397,-52.296802700046506,0.7725025446502334,14.6476307,16.8809185,17.4162788,16.1988144,1.21746445,1313.37415
2046952211802661760,295.5800121274688,33.64587450724946,0.5850276811450686,14.0020571,16.1530514,16.5009289,15.4442148,1.05671406,1664.62732
2721969814860500992,331.8618017608708,7.8486039514425086,1.6624912427038672,17.6993809,17.4138279,18.3760529,16.4296055,1.94644737,607.257629
2025084540427650048,294.9057770369072,26.996324555982422,0.4071804788324724,12.0048485,15.8899975,16.3411446,15.1634331,1.17771149,2284.78076
6053809940526290048,186.1889249579285,-63.15110892661536,0.5284597196855852,16.875145,15.8157148,16.2939434,15.1636753,1.1302681,1759.26416
4518299208793616384,282.9713762543444,18.92277906160665,0.5096821257805366,30.4709053,14.1465597,14.9054728,13.3015699,1.60390282,1839.47192
404578536238105088,14.297704017556098,51.37640993235188,0.5213151002920884,27.446167,13.92068,14.6243553,13.1116743,1.51268101,1806.82361
4450664125385430016,243.39812939353072,8.177187020664014,1.71811968799288,73.9081726,14.5244513,14.9428806,13.9432468,0.999633789,572.113281
4315256450979053312,294.2943324543457,12.261716243516302,0.911723582078268,54.3102455,12.9995813,13.3074074,12.5290184,0.778388977,1061.84607
5236376470327241856,175.09017741795077,-66.35387865201615,0.4919589949220387,11.0962467,16.4636192,17.1609955,15.6405344,1.52046108,1930.59399
4712152626401170048,24.21398035283467,-63.0083246153409,0.6576632547978049,16.6242428,16.5875111,17.0456009,15.9721498,1.07345104,1461.86035
