set,hjd,mag
0,2456195.60033,10.64041
0,2456195.607031,10.65506
0,2456195.614418,10.64337
0,2456195.623365,10.65065
0,2457036.36739,10.64041
0,2456676.331141,10.64725
0,2456676.338203,10.63497
0,2456676.340622,10.63256
0,2456676.347661,10.63167
0,2456196.595951,10.66474
0,2456196.602682,10.64042
0,2456196.610099,10.65738
0,2456196.619062,10.65587
0,2456677.299256,10.64843
0,2456677.308469,10.64347
0,2456677.31068,10.64777
0,2456677.319936,10.64041
0,2456677.332345,10.66012
0,2456677.341629,10.65154
0,2456677.344046,10.64492
0,2456677.353319,10.64218
0,2456677.355703,10.64362
0,2456677.364966,10.64154
0,2456557.603432,10.67396
0,2456557.610635,10.6761
0,2456557.6217,10.68122
0,2456557.626804,10.68017
0,2456557.637892,10.6739
0,2456257.427547,10.66726
0,2456257.437104,10.67998
0,2456257.446099,10.66607
0,2456257.453653,10.67467
0,2456257.46043,10.66763
0,2456257.470137,10.66973
0,2456257.476881,10.67875
0,2456257.486559,10.67009
0,2456257.495521,10.6763
0,2456257.507318,10.66758
0,2457038.300045,10.66843
0,2457038.311666,10.66423
0,2457038.313888,10.65705
0,2457038.323232,10.66234
0,2457038.335753,10.68266
0,2457038.34527,10.68373
0,2457038.347729,10.6818
0,2457038.359315,10.66989
0,2457038.364157,10.67898
0,2456678.29753,10.65763
0,2456678.306794,10.65937
0,2456678.309019,10.66425
0,2456678.318328,10.65916
0,2456678.330859,10.67149
0,2456678.340133,10.65718
0,2456678.344991,10.65856
0,2456678.361322,10.66196
0,2456558.603898,10.68203
0,2456558.6106,10.67582
0,2456558.615698,10.68635
0,2456558.626798,10.68827
0,2456258.438628,10.67644
0,2456258.446073,10.65357
0,2456258.455033,10.66285
0,2455598.294308,10.64184
0,2455598.300916,10.64896
0,2455598.314921,10.65244
0,2456979.449405,10.70633
0,2456979.452511,10.7036
0,2456979.460467,10.69739
0,2456979.463081,10.69742
0,2456979.475188,10.69773
0,2456979.477741,10.70233
0,2456979.487382,10.70598
0,2456979.490477,10.7051
0,2456979.500068,10.69964
0,2456679.297662,10.68117
0,2456979.512586,10.71065
0,2456979.52416,10.71457
0,2456679.315419,10.68623
0,2456679.317639,10.67917
0,2456679.326874,10.67442
0,2456679.339273,10.67516
0,2456679.350792,10.68038
0,2456679.355644,10.68079
0,2457040.299507,10.6996
0,2457040.311067,10.69483
0,2457040.313267,10.69952
0,2455599.28868,10.65359
0,2455599.293149,10.66842
0,2455599.299753,10.65956
0,2457040.334556,10.70156
0,2455599.313765,10.66188
0,2457040.351665,10.70534
0,2455539.39605,10.65407
0,2455539.414269,10.66661
0,2456980.446118,10.71559
0,2456980.448627,10.71619
0,2455539.428095,10.65537
0,2456980.45568,10.71598
0,2456980.458187,10.72757
0,2456980.470019,10.70873
